_about,average_price,house_price_index,percentage_annual_change,percentage_change,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2020-12,133020,89.0,6.7,2.9,2020-12,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,522.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2021-01,134746,90.2,6.4,1.3,2021-01,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,501.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2021-02,134746,90.2,6.4,1.3,2021-02,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,501.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2021-03,134746,90.2,6.4,1.3,2021-03,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,501.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2021-04,138034,92.4,8.0,2.4,2021-04,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,530.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2021-05,138034,92.4,8.0,2.4,2021-05,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,530.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2021-06,138034,92.4,8.0,2.4,2021-06,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,530.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2021-07,141823,94.9,9.7,2.7,2021-07,3,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,540.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2021-08,141823,94.9,9.7,2.7,2021-08,3,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,540.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2021-09,141823,94.9,9.7,2.7,2021-09,3,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,540.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2021-10,139649,93.5,5.0,-1.5,2021-10,3,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,440.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2021-11,139649,93.5,5.0,-1.5,2021-11,3,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,440.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2021-12,139649,93.5,5.0,-1.5,2021-12,3,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,440.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2022-01,143891,96.3,6.8,3.0,2022-01,3,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,427.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2022-02,143891,96.3,6.8,3.0,2022-02,3,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,427.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2022-03,143891,96.3,6.8,3.0,2022-03,3,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,427.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2022-04,147392,98.7,6.8,2.4,2022-04,3,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,393.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2022-05,147392,98.7,6.8,2.4,2022-05,3,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,393.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2022-06,147392,98.7,6.8,2.4,2022-06,3,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,393.0
