_about,average_price,house_price_index,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,percentage_change,percentage_annual_change
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2009-10,139284,83.9,2009-10,3,2009-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,121.0,1.0,-0.3
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2009-11,139284,83.9,2009-11,3,2009-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,121.0,1.0,-0.3
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2009-12,139284,83.9,2009-12,3,2009-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,121.0,1.0,-0.3
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2010-01,131637,79.3,2010-01,3,2010-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,72.0,-5.5,0.2
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2010-02,131637,79.3,2010-02,3,2010-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,72.0,-5.5,0.2
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2010-03,131637,79.3,2010-03,3,2010-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,72.0,-5.5,0.2
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2010-04,130115,78.4,2010-04,3,2010-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,81.0,-1.2,-4.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2010-05,130115,78.4,2010-05,3,2010-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,81.0,-1.2,-4.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2010-06,130115,78.4,2010-06,3,2010-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,81.0,-1.2,-4.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2010-07,130822,78.8,2010-07,3,2010-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,90.0,0.5,-5.1
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2010-08,130822,78.8,2010-08,3,2010-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,90.0,0.5,-5.1
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2010-09,130822,78.8,2010-09,3,2010-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,90.0,0.5,-5.1
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2010-10,119289,71.9,2010-10,3,2010-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,90.0,-8.8,-14.4
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2010-11,119289,71.9,2010-11,3,2010-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,90.0,-8.8,-14.4
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2010-12,119289,71.9,2010-12,3,2010-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,90.0,-8.8,-14.4
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2011-01,114662,69.1,2011-01,3,2011-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,68.0,-3.9,-12.9
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2011-02,114662,69.1,2011-02,3,2011-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,68.0,-3.9,-12.9
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2011-03,114662,69.1,2011-03,3,2011-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,68.0,-3.9,-12.9
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2011-04,115775,69.7,2011-04,3,2011-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,75.0,1.0,-11.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2011-05,115775,69.7,2011-05,3,2011-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,75.0,1.0,-11.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2011-06,115775,69.7,2011-06,3,2011-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,75.0,1.0,-11.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2011-07,115794,69.8,2011-07,3,2011-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,94.0,0.0,-11.5
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2011-08,115794,69.8,2011-08,3,2011-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,94.0,0.0,-11.5
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2011-09,115794,69.8,2011-09,3,2011-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,94.0,0.0,-11.5
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2011-10,107268,64.6,2011-10,3,2011-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,84.0,-7.4,-10.1
